Found:4300
Dashboard | Dashboard | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 6 | <title>@yield('title', 'Dashboard') - CryptoPay</title>
Dashboard | Dashboard | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 10 | <title>Merchant Dashboard - CryptoPay</title>
Dashboard | Dashboard | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 315 | <h1>💼 Merchant Dashboard</h1>
Dashboard | Dashboard | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 6 | <title>@yield('title', 'Dashboard') - CryptoPay</title>
Dashboard | Dashboard | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 10 | <title>Merchant Dashboard - CryptoPay</title>
Dashboard | Dashboard | E:\smart-cryptopay\resources\views\merchant\dashboard.blade.php | 315 | <h1>💼 Merchant Dashboard</h1>
Profile | Profile | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 335 | <!-- User Profile - Fixed at Bottom -->
Profile | Profile | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 446 | <!-- Profile Dropdown -->
Profile | Profile | E:\smart-cryptopay\resources\views\user\settings.blade.php | 53 | <!-- Profile Section -->
Profile | Profile | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 335 | <!-- User Profile - Fixed at Bottom -->
Profile | Profile | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 446 | <!-- Profile Dropdown -->
Profile | Profile | E:\smart-cryptopay\resources\views\user\settings.blade.php | 53 | <!-- Profile Section -->
Email | Email | E:\smart-cryptopay\resources\views\auth\forgot-password.blade.php | 12 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\auth\login.blade.php | 14 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\auth\register.blade.php | 18 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\auth\reset-password.blade.php | 8 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 5 | 'changeEmailRoute' => route('profile.edit', absolute: false),
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 32 | async copyEmail() {
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 175 | @click="copyEmail()"
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 177 | :aria-label="copied ? 'Email copied' : 'Copy email'"
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 245 | <a href="{{ $changeEmailRoute }}" class="inline-flex items-center gap-2 font-medium text-sky-300 transition hover:text-sky-200">
Email | Email | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 67 | <!-- Email -->
Email | Email | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 121 | <!-- Business Email -->
Email | Email | E:\smart-cryptopay\resources\views\partials\security-settings.blade.php | 54 | @if (auth()->user()->hasVerifiedEmail())
Email | Email | E:\smart-cryptopay\resources\views\auth\forgot-password.blade.php | 12 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\auth\login.blade.php | 14 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\auth\register.blade.php | 18 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\auth\reset-password.blade.php | 8 | <!-- Email Address -->
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 5 | 'changeEmailRoute' => route('profile.edit', absolute: false),
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 32 | async copyEmail() {
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 175 | @click="copyEmail()"
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 177 | :aria-label="copied ? 'Email copied' : 'Copy email'"
Email | Email | E:\smart-cryptopay\resources\views\components\verify-email-card.blade.php | 245 | <a href="{{ $changeEmailRoute }}" class="inline-flex items-center gap-2 font-medium text-sky-300 transition hover:text-sky-200">
Email | Email | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 67 | <!-- Email -->
Email | Email | E:\smart-cryptopay\resources\views\merchant\settings.blade.php | 121 | <!-- Business Email -->
Email | Email | E:\smart-cryptopay\resources\views\partials\security-settings.blade.php | 54 | @if (auth()->user()->hasVerifiedEmail())
Password | Password | E:\smart-cryptopay\resources\views\auth\confirm-password.blade.php | 9 | <!-- Password -->
Password | Password | E:\smart-cryptopay\resources\views\auth\login.blade.php | 21 | <!-- Password -->
Password | Password | E:\smart-cryptopay\resources\views\auth\register.blade.php | 34 | <!-- Password -->
Password | Password | E:\smart-cryptopay\resources\views\auth\register.blade.php | 46 | <!-- Confirm Password -->
